# X Y Sx Sy Sz
0.500000 0.288675 0.980602 0.176831 -0.084565
1.000000 0.577350 -0.971067 -0.173756 0.163819
1.000000 1.154701 0.970635 0.156141 -0.182997
1.500000 1.443376 -0.951437 -0.147888 0.269995
1.500000 2.020726 0.952110 0.139794 -0.271925
2.000000 2.309401 -0.926571 -0.127201 0.353958
2.000000 2.886751 0.927197 0.110828 -0.357802
2.500000 3.175426 -0.899106 -0.098770 0.426442
2.500000 3.752777 0.897245 0.089653 -0.432334
3.000000 4.041452 -0.866009 -0.074794 0.494402
3.000000 4.618802 0.865616 0.060389 -0.497053
3.500000 4.907477 -0.829961 -0.053822 0.555219
3.500000 5.484828 0.825693 0.034481 -0.563065
4.000000 5.773503 -0.784843 -0.032611 0.618835
4.000000 6.350853 0.779295 0.025884 -0.626122
4.500000 6.639528 -0.733689 -0.012534 0.679370
4.500000 7.216878 0.738963 -0.007236 -0.673707
5.000000 7.505553 -0.693011 0.007310 0.720890
5.000000 8.082904 0.692262 -0.013974 -0.721511
5.500000 8.371579 -0.654629 0.020907 0.755661
5.500000 8.948929 0.658412 -0.029768 -0.752069
6.000000 9.237604 -0.609474 0.039571 0.791818
6.000000 9.814955 0.606502 -0.049631 -0.793531
6.500000 10.103630 -0.560818 0.052290 0.826286
6.500000 10.680980 0.571348 -0.051401 -0.819096
7.000000 10.969655 -0.519815 0.058536 0.852271
7.000000 11.547005 0.526543 -0.071411 -0.847144
7.500000 11.835681 -0.472647 0.073289 0.878199
7.500000 12.413031 0.475956 -0.083962 -0.875452
8.000000 12.701706 -0.428146 0.077964 0.900340
8.000000 13.279056 0.442956 -0.078237 -0.893123
8.500000 13.567731 -0.398540 0.076210 0.913979
8.500000 14.145082 0.408462 -0.076343 -0.909577
9.000000 14.433757 -0.365788 0.069115 0.928128
9.000000 15.011107 0.367808 -0.073936 -0.926958
9.500000 15.299782 -0.319853 0.077138 0.944322
9.500000 15.877132 0.334388 -0.076477 -0.939327
10.000000 16.165808 -0.287695 0.080186 0.954359
10.000000 16.743158 0.298719 -0.083888 -0.950647
10.500000 17.031833 -0.254902 0.078294 0.963792
